MLV_ID,Nombre,Precio_Numerico,Score,Opiniones,Ventas_Estimadas,Visitas_10dias,EnvioGratis,Vendedor_Nombre,Vendedor_Estatus,Vendedor_Seguidores,Vendedor_Productos,Vendedor_Ventas,Vendedor_Recomendacion,Vendedor_AniosML,Vendedor_Link,Ubicacion_Tienda,Categoria,Subcategorias,Categorias,Marca,Modelo,Especificaciones,Imagen,Link_Producto,Google_Breakout_Vendedor,DeepExtracted,Synced_At
MLV762959119,Clavos Con Fulminante Pistola Hormigon Drywall Acero 0 Mm,10.34,4.9,118,500,0,Sí,EMETECHNOLOGYS,MercadoLíder Platinum,1700,500,10000,99,4,https://www.mercadolibre.com.ve/pagina/emetechnologys,"Valencia (Valencia), Carabobo",Construcción,Materiales de Obra > Fijaciones > Clavos,Construcción > Materiales de Obra > Fijaciones > Clavos,CLAVOS,Fulminante,Marca: CLAVOS | Modelo: Fulminante | Tipo de cabeza del clavo: Plana | Tipo de cuerpo del clavo: Liso acero | Tipo de punta: FINA | Diámetro nominal: 0 mm | Material: Acero,https://http2.mlstatic.com/D_NQ_NP_2X_815155-MLV109091036758_042026-F.webp,https://articulo.mercadolibre.com.ve/MLV-762959119-clavos-con-fulminante-pistola-hormigon-drywall-acero-0-mm-_JM,https://www.google.com/search?q=%22EMETECHNOLOGYS%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:56.082Z
MLV856073568,Puertas Plegables,41.49,4.8,199,500,0,Sí,INVERSIONESFERRECONOMICACOMP,N/A,1300,500,5000,99,3,https://www.mercadolibre.com.ve/pagina/inversionesferreconomicacomp,"Mun. Sucre (centro), Distrito Capital",Construcción,Aberturas > Puertas,Construcción > Aberturas > Puertas,"Home Kit, brufer o basic",PUERTA PLEGABLES,"Marca: Home Kit, brufer o basic | Línea: N/A | Modelo: PUERTA PLEGABLES | Ancho x Altura: 91 cm x 2.1 m | Tipo de puerta: Plegable | Es apta para interior: Sí | Piezas incluidas: Preguntar | Es apta para exterior: No | Es puerta blindada: No | Material: PVC",https://http2.mlstatic.com/D_NQ_NP_2X_688431-MLV100388160587_122025-F.webp,https://articulo.mercadolibre.com.ve/MLV-856073568-puertas-plegables-_JM,https://www.google.com/search?q=%22INVERSIONESFERRECONOMICACOMP%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:56.606Z
MLV719196964,"Strap Con Muñequera Antiresbalantes Ejercicios Pesas, Straps",11.95,4.9,271,500,0,Sí,RUDO SPORT,MercadoLíder Platinum,4600,500,10000,100,14,https://www.mercadolibre.com.ve/pagina/rudo_sport,"Mun. Libertador (Oeste), Distrito Capital",Deportes y Fitness,"Fitness y Aerobics > Pesas, Discos y Barras > Agarres para Gimnasio","Deportes y Fitness > Fitness y Aerobics > Pesas, Discos y Barras > Agarres para Gimnasio",no pain no gain,Straps ejercicios,"Marca: no pain no gain | Modelo: Straps ejercicios | Color: Negro | Largo x Altura: 40 cm x 30 cm | Peso: 80 g | Músculos recomendados: Bíceps, Espalda, Triceps | Forma: Curva | Material del mango: Antiresbalante | Es antideslizante: Sí",https://http2.mlstatic.com/D_NQ_NP_2X_620042-MLV110287621193_042026-F.webp,https://articulo.mercadolibre.com.ve/MLV-719196964-strap-con-munequera-antiresbalantes-ejercicios-pesas-straps-_JM,https://www.google.com/search?q=%22RUDO%20SPORT%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:57.252Z
MLV804187764,Torquimetro 1/2 Bidireccional Con Dados Y Extención .,34.99,4.9,67,500,0,Sí,ASU IMPORT,MercadoLíder Platinum,50,25,10000,99,12,https://www.mercadolibre.com.ve/pagina/asurepuesto,"Barinas (Barinas), Barinas",Herramientas,Testers y Equipos de Medición > Medidores de Fuerza > Torquímetros,Herramientas > Testers y Equipos de Medición > Medidores de Fuerza > Torquímetros,Dr.micrometer,12,"Marca: Dr.micrometer | Modelo: 12 | Tipo de torquímetro: 1/2 | Largo: 47 cm | Peso: 2,1 kg | Tamaño de encastre: 1/2"" | Rango de torque: 210 Nm | Unidad de medida: Newton-metro | Es torquímetro bidireccional: Sí | Incluye estuche: Sí",https://http2.mlstatic.com/D_NQ_NP_2X_603439-MLV110702580699_042026-F.webp,https://articulo.mercadolibre.com.ve/MLV-804187764-torquimetro-12-bidireccional-con-dados-y-extencion--_JM,https://www.google.com/search?q=%22ASU%20IMPORT%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:57.831Z
MLV838797492,Kz Edx Pro X Audífonos In-ear Con Micrófono + Estuche,16.98,4.9,349,500,0,Sí,INFIVENITY,MercadoLíder Platinum,410,25,1000,100,20,https://www.mercadolibre.com.ve/pagina/infivenity,"Valencia (Valencia), Carabobo","Electrónica, Audio y Video",Audio > Audífonos,"Electrónica, Audio y Video > Audio > Audífonos",KZ,EDX PRO X,Fabricante: Knowledge Zenith | Marca: KZ | Modelo: EDX PRO X | Cantidad de pares: 1 | Con micrófono: Sí | Es infantil: No | Formato del audífono: In-ear | Es monoaural: No | Con luz LED: No | Es inalámbrico: No | Con Bluetooth: No | Es inalámbrico: No | Con luz LED: No | Con micrófono: Sí,https://http2.mlstatic.com/D_NQ_NP_2X_774993-MLV111256274340_052026-F.webp,https://articulo.mercadolibre.com.ve/MLV-838797492-kz-edx-pro-x-audifonos-in-ear-con-microfono-estuche-_JM,https://www.google.com/search?q=%22INFIVENITY%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:58.417Z
MLV574039741,Tester Multimetro Capacimetro Digital 40mf Uni-t Ut136c+,41.65,4.9,209,500,0,Sí,UNI -T,MercadoLíder Platinum,900,100,10000,100,21,https://www.mercadolibre.com.ve/tienda/uni-t,"Mun. El Hatillo (sur), Distrito Capital",Herramientas,Testers y Equipos de Medición > Medidores de Electricidad > Multímetros,Herramientas > Testers y Equipos de Medición > Medidores de Electricidad > Multímetros,Uni-T,Ut136c+,Marca: Uni-T | Modelo: Ut136c+ | Tensión máxima CA: 1000V | Tensión máxima CC: 1000V | Corriente máxima CA: 10 A | Corriente máxima CC: 10 A | Frecuencia máxima: 40.000 kHz,https://http2.mlstatic.com/D_NQ_NP_2X_852977-MLV98884056387_112025-F.webp,https://articulo.mercadolibre.com.ve/MLV-574039741-tester-multimetro-capacimetro-digital-40mf-uni-t-ut136c-_JM,https://www.google.com/search?q=%22UNI%20-T%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:28:59.166Z
MLV712527634,Papel Adhesivo Fotográfico 135gms Tinec A4 50hojas Brillante,9.99,5,564,1000,0,Sí,lnb2009,MercadoLíder Platinum,1600,100,10000,100,22,https://www.mercadolibre.com.ve/pagina/lnb_2009,"Barquisimeto, Lara","Arte, Papelería y Mercería",Papelería > Comercial y Oficina > Papeles para Impresión,"Arte, Papelería y Mercería > Papelería > Comercial y Oficina > Papeles para Impresión",Tinec,N/A,Marca: Tinec | Tamaño del papel: A4 | Tipo de papel: Auto-Adhesivo | Cantidad de hojas: 50 | Gramaje: 135 g | Acabado: Brillante,https://http2.mlstatic.com/D_NQ_NP_2X_642999-MLV96529628133_102025-F.webp,https://articulo.mercadolibre.com.ve/MLV-712527634-papel-adhesivo-fotografico-135gms-tinec-a4-50hojas-brillante-_JM,https://www.google.com/search?q=%22lnb2009%22%20Venezuela%20Barquisimeto%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:22.127Z
MLV767088573,Router Wifi Gigabit Doblebanda Ac1200 Ac8 Fibra Optica Gamer,28.8,5,42,500,0,Sí,DISTGAMAX,MercadoLíder Platinum,910,500,10000,100,8,https://www.mercadolibre.com.ve/pagina/tendavzla,"Los Teques, Miranda",Computación,Conectividad y Redes > Routers y Access Points,Computación > Conectividad y Redes > Routers y Access Points,Tenda,AC8,"Marca: Tenda | Modelo: AC8 | Color: Negro | Cantidad de antenas externas: 4 | Formato de venta: Unidad | Velocidad inalámbrica: 0 Mbps | Frecuencias: 2.4ghz, 5ghz | Tipo de frecuencia: Banda doble | Velocidad inalámbrica 0 Mbps | Frecuencias 2.4ghz, 5ghz",https://http2.mlstatic.com/D_NQ_NP_2X_800201-MLV106534222716_022026-F.webp,https://articulo.mercadolibre.com.ve/MLV-767088573-router-wifi-gigabit-doblebanda-ac1200-ac8-fibra-optica-gamer-_JM,https://www.google.com/search?q=%22DISTGAMAX%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:29:00.255Z
MLV803491992,Hub Adaptador Tipo C 8en1 Multipuertos 3.0 Aluminio Conector Gris,14.99,5,1,500,0,Sí,SCAROLA IMPORT,N/A,4100,500,50000,98,6,https://www.mercadolibre.com.ve/pagina/scarolaimport,"Mun. Sucre (este), Distrito Capital",Computación,Cables y Hubs USB > Hubs USB,Computación > Cables y Hubs USB > Hubs USB,Adapter,8 in 1,"Marca: Adapter | Modelo: 8 in 1 | Color: Gris | Nombres de los sistemas operativos compatibles: UHD Tipo C HDTV micro SD rj45 | Versiones de USB compatibles: 3.0, 2.0 | Tasa de transferencia de datos: 300 Mbps | Largo del cable: 10 cm | Cantidad de puertos: 8 | Con protección contra sobrecarga: No | Con botón de encendido/apagado: No | Con luz de encendido: No",https://http2.mlstatic.com/D_NQ_NP_2X_708189-MLV77494788686_072024-F.webp,https://articulo.mercadolibre.com.ve/MLV-803491992-hub-adaptador-tipo-c-8en1-multipuertos-30-aluminio-conector-gris-_JM,https://www.google.com/search?q=%22SCAROLA%20IMPORT%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:29:00.777Z
MLV750917301,Router Wifi Mercusys Mr30g Dual Band Ac1200 Full Gigabit,28.8,4.9,913,1000,0,Sí,MCSUMINISTROS CARLOSRAMIREZ,MercadoLíder Platinum,2400,100,10000,100,10,https://www.mercadolibre.com.ve/pagina/mcsuministroscarlosramirez4552,"San Cristóbal,",Computación,Conectividad y Redes > Routers y Access Points,Computación > Conectividad y Redes > Routers y Access Points,Mercusys,MR30G,"Marca: Mercusys | Línea: Router | Modelo: MR30G | Versión: Dual Band | Color: Negro | Voltaje: 120/220V | Funciones: Access point | Con conexión PoE: No | Con control parental: Sí | Formato de venta: Unidad | Tipos de conexiones: Con cable | Velocidad inalámbrica: 1,2 Gbps | Frecuencias: 2.4GHZ, 5GHZ | Tipo de frecuencia: Banda doble | Cantidad de antenas externas: 4 | Duración del producto: 3 meses | Funciones Access point | Frecuencias 2.4GHZ, 5GHZ | Velocidad inalámbrica 1.2 Gbps",https://http2.mlstatic.com/D_NQ_NP_2X_945295-MLV111118626829_052026-F.webp,https://articulo.mercadolibre.com.ve/MLV-750917301-router-wifi-mercusys-mr30g-dual-band-ac1200-full-gigabit-_JM,https://www.google.com/search?q=%22MCSUMINISTROS%20CARLOSRAMIREZ%22%20Venezuela%20San%20Crist%C3%B3bal%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:21.607Z
MLV753854843,Protector De Aires Acondicionados Lumistar 220v Negro,11.51,4.8,226,500,0,Sí,Gaska,MercadoLíder Platinum,5400,1000,10000,98,3,https://www.mercadolibre.com.ve/tienda/gaska,"Ciudad Bolívar, Bolívar",Computación,Protectores y UPS > Reguladores,Computación > Protectores y UPS > Reguladores,Lumistar,PTV004,Marca: Lumistar | Línea: Protector de voltaje | Modelo: PTV004 | Modelo alfanumérico: PTV004 | Color: Negro | Modelo detallado: Aires Acondicionados | Tipos de producto: Protector de tensión | Tipo de batería: N/A | Potencia pico: 3600VA | Voltaje de entrada: 170/260V | Voltaje de salida: 220V | Voltaje de entrada CA: 170/260V | Voltaje de salida CA: 220V | Denominación de voltaje: Bivolt | Rango de voltaje de entrada: 90/140V | Rango de voltaje de entrada CA: 90/140V | Voltaje de entrada: 170/260V | Potencia pico: 3600VA | Voltaje de entrada CA: 170/260V,https://http2.mlstatic.com/D_NQ_NP_2X_635276-MLV74201156717_012024-F.webp,https://articulo.mercadolibre.com.ve/MLV-753854843-protector-de-aires-acondicionados-lumistar-220v-negro-_JM,https://www.google.com/search?q=%22Gaska%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:29:01.815Z
MLV869881848,Tiras Glucometro Contec Mayor Y Detal Bg-01-10 Rojo,10.99,4.9,130,500,0,Sí,Vendedores Certificados Salud,MercadoLíder Platinum,150,5,5000,100,3,https://www.mercadolibre.com.ve/pagina/conteccomercia,"Mun. Libertador (Oeste), Distrito Capital",Estética y Belleza,Salud > Equipamiento Médico > Equipos de Monitoreo > Glucómetros,Estética y Belleza > Salud > Equipamiento Médico > Equipos de Monitoreo > Glucómetros,Contec,Bg-01-10,Marca: Contec | Modelo: Bg-01-10 | Color: Rojo,https://http2.mlstatic.com/D_NQ_NP_2X_816273-MLV105464599409_012026-F.webp,https://articulo.mercadolibre.com.ve/MLV-869881848-tiras-glucometro-contec-mayor-y-detal-bg-01-10-rojo-_JM,https://www.google.com/search?q=%22Vendedores%20Certificados%20Salud%22%20Venezuela%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-15T08:29:02.320Z
MLV897425832,Protector De Voltaje 110v Protek Para Neveras Refrigeradores,9.56,4.9,0,1000,0,Sí,Pendiente,Pendiente,N/A,N/A,N/A,N/A,N/A,,Pendiente,N/A,N/A,N/A,N/A,N/A,N/A,https://http2.mlstatic.com/D_Q_NP_2X_901382-MLV88700960058_072025-E.webp,https://articulo.mercadolibre.com.ve/MLV-897425832-protector-de-voltaje-110v-protek-para-neveras-refrigeradores-_JM,,No,2026-08-16T23:31:19.713Z
MLV749948583,Rodillera Deportiva Ajustable Compresión Ejercicios Pack 2,6.78,4.8,476,1000,0,Sí,DETODOTODITO COMCA,N/A,1700,100,5000,99,5,https://www.mercadolibre.com.ve/pagina/detodotoditocomca,"Girardot (Maracay), Aragua",Deportes y Fitness,Fitness y Aerobics > Protección y Rehabilitación > Rodilleras,Deportes y Fitness > Fitness y Aerobics > Protección y Rehabilitación > Rodilleras,Genérica,Cruzada,Marca: Genérica | Modelo: Cruzada | Tipo de rodillera: Deportiva | Formato de venta: Pack | Unidades por pack: 2 | Materiales: Nylon | Composición: Nylon | Es articulada: Sí | Es respirable: Sí | Con correas ajustables: Sí | Con protección rígida externa: No | Es apto para lavadora: Sí,https://http2.mlstatic.com/D_NQ_NP_2X_731339-MLV113727083838_072026-F.webp,https://articulo.mercadolibre.com.ve/MLV-749948583-rodillera-deportiva-ajustable-compresion-ejercicios-pack-2-_JM,https://www.google.com/search?q=%22DETODOTODITO%20COMCA%22%20Venezuela%20Girardot%20(Maracay)%20(whatsapp%20OR%20instagram%20OR%20rif%20OR%20telefono%20OR%20tienda),Sí,2026-08-16T23:31:11.138Z
